,attachments,author_id,conversation_id,created_at,edit_history_tweet_ids,id,in_reply_to_user_id,text,origen,geo
16,"{'media_keys': ['3_1591071928667734017', '3_1591071955301588992']}",1183084648492130305,1591071959210946561,2022-11-11 14:14:50+00:00,['1591071959210946561'],1591071959210946561,,"#dolar Monitor continúa en alza mientras ya q no hay disposición d la divisa en los bancos. Estado sigue quemando dólares en bancos mientras aumenta la sed vorágine por adquirir la divisa.
#LeerEscribirYPensar
#LeerDesconoliza
#FILVEN2022
Luis Enrique
Rafael Cárdenas
España
Locha https://t.co/yocpbnW0iD",dolar,
17,{'media_keys': ['3_1591071423761629184']},1333874695779864588,1591071547250606080,2022-11-11 14:13:12+00:00,['1591071547250606080'],1591071547250606080,,"#dolar parece que despierta...
despegue en 3...2...1...🚀? https://t.co/feU3YjnCos",dolar,
18,,1197258093207457794,1591070350502416384,2022-11-11 14:08:26+00:00,['1591070350502416384'],1591070350502416384,,"💲💲🤑El PESO cotizaba en 19.34 unidades por #dólar💵 casi al final de los #negocios; en tanto, el referencial índice accionario S&amp;P/BMV ganó un 0.96%

https://t.co/SI2vraWbyz",dolar,
19,,60999597,1591070264426901505,2022-11-11 14:08:06+00:00,['1591070264426901505'],1591070264426901505,,"💲💲🤑El PESO cotizaba en 19.34 unidades por #dólar💵 casi al final de los #negocios; en tanto, el referencial índice accionario S&amp;P/BMV ganó un 0.96%

https://t.co/MLPRRX3Wyt",dolar,
20,,1550156303473037315,1591069742458363907,2022-11-11 14:06:01+00:00,['1591069742458363907'],1591069742458363907,,"DOLAR EN ARGENTINA
Datos del: 11/11/2022 - 10:11

Compra: $288,00 | Venta: $292,00
Variación:  0,00%

Riesgo país: 2481 🔽 -2,17

Información de Ámbito Financiero (mzy)

#Dolar #DolarBlue #Devaluación #BCRA #Gobierno #Argentina",dolar,
21,{'media_keys': ['3_1591069714800906242']},29629086,1591054951018598401,2022-11-11 14:05:59+00:00,['1591069732186488833'],1591069732186488833,29629086.0,#Dólar | 💵 Cotización de apertura en #Argentina  ⬇️ https://t.co/GGftJaIQYp,dolar,
22,,106330452,1591069702734123009,2022-11-11 14:05:52+00:00,['1591069702734123009'],1591069702734123009,,"#TipoDeCambio | Precio del #dólar en #México  este viernes 11 de noviembre de 2022.
https://t.co/xT2yR7SmOg",dolar,
23,{'media_keys': ['3_1591069408109232131']},234088034,1591069505072947200,2022-11-11 14:05:05+00:00,['1591069505072947200'],1591069505072947200,,"#ElInformanteMéxico

#Portada| ¡COMO NUNCA! EL #PESO SE FORTALECE FRENTE AL #DÓLAR

La #DivisaMexicana se ubica alrededor de los 19.35 pesos por dólar al mayoreo en los #MercadosInternacionales, lo que significa una apreciación de 1.13%.
@Banxico
https://t.co/AU8XeMBzc1 https://t.co/5jeN3re36B",dolar,
24,{'media_keys': ['3_1591069001383297027']},1381776255243145226,1591069005225279489,2022-11-11 14:03:06+00:00,['1591069005225279489'],1591069005225279489,,"#CarlosVives participará en #creación de #NFT

https://t.co/nmuSxL0Ufr

#b2bfinances #finanzas #España #academia #noticias #bolsa #traiding #México #Venezuela #chile #panama #oro #stamp #news #Perú #Florida #índices #cursos #forex #Crypto #Colombia #dinero #dolar #euro #israel https://t.co/J9aFsFSwFA",dolar,
25,,1362796718,1591068822752137217,2022-11-11 14:02:22+00:00,['1591068822752137217'],1591068822752137217,,"""De la mano de los usados, crecen los préstamos prendarios - Diario Río Negro"" | #DolarBlue #Dolar https://t.co/4LoDcLS5p1 https://t.co/tS7XNkIFRw",dolar,
26,,1362796718,1591068821627994112,2022-11-11 14:02:22+00:00,['1591068821627994112'],1591068821627994112,,"""Dólar Tarjeta, Turista y Coldplay: ¿cuánto queda en el camino? - Por Damián Di Pace - https://t.co/iDsPHVxQL2"" | #DolarBlue #Dolar https://t.co/4LoDcLS5p1 https://t.co/u5C4c7BfEA",dolar,
27,{'media_keys': ['3_1591068673648762881']},164807937,1591068684260634624,2022-11-11 14:01:49+00:00,['1591068684260634624'],1591068684260634624,,"📌El dólar se viene devaluando frente a varias monedas hace un mes

#unpasoadelantefxti #dólar #monedaslatinas #analisisbursatil #analisistecnico https://t.co/xwJ4PB16Tg",dolar,
28,,164807937,1591068435596779520,2022-11-11 14:00:50+00:00,['1591068435596779520'],1591068435596779520,,"📌El dólar se viene devaluando frente a varias monedas hace un mes

#unpasoadelantefxti #dólar #monedaslatinas #analisisbursatil #analisistecnico https://t.co/EfRIacfAM8",dolar,
29,{'media_keys': ['3_1591068393683255297']},869662267075375109,1591068412477726720,2022-11-11 14:00:44+00:00,['1591068412477726720'],1591068412477726720,,"Hoy Viernes 11 de Noviembre de 2022 el tipo de cambio promedio del dólar en #México es de

1 #Dólar = 19.4013 Pesos
⇧ 0.0045 0.02%

#AbriendoLaConversación https://t.co/hIljbGlw4F",dolar,
30,,2192594364,1591068242705096704,2022-11-11 14:00:04+00:00,['1591068242705096704'],1591068242705096704,,El precio del dólar paralelo en este momento 2022-11-11 10:00 AM: 10.6 Bs #venezuela #dolar,dolar,
31,,1234705632927846400,1591066884845277185,2022-11-11 13:54:40+00:00,['1591066884845277185'],1591066884845277185,,"#Economía | 💵 Hoy viernes 11 de noviembre de 2022 el precio del #dólar en #México se coloca en un valor promedio nacional de $19.3664 pesos, mientras que el valor de compra en $19.0022 y de venta en $19.7307.
👉https://t.co/2qND0Vxpa5 

https://t.co/ZzzAWdMZHY",dolar,
32,{'media_keys': ['3_1591066062572904448']},1024672891663736832,1591066050958954497,2022-11-11 13:51:25+00:00,['1591066065890865152'],1591066065890865152,1.0246728916637368e+18,"#Frecuencia de palabras en los textos de #economia de #Infobae del 10.11.2022 📊
1.  #gobierno 83
2.  #dólar 79
3.  #precios 61
4.  #argentina 55
5.  #acuerdo 50
6.  #inflación 47
7.  #presidente 41
8.  #massa 39 https://t.co/vTotEcMeJF",dolar,
33,{'media_keys': ['7_1591065347452534787']},726272840027115520,1591065440515948546,2022-11-11 13:48:56+00:00,['1591065440515948546'],1591065440515948546,,"🔴 Así el #Dólar
Compra $18.20
Venta     $19.60
#Morelos
#Cuernavaca https://t.co/rScra4cwpb",dolar,
34,{'media_keys': ['16_1591064931943579648']},117203015,1591064939405266944,2022-11-11 13:46:56+00:00,['1591064939405266944'],1591064939405266944,,#NotiDOA #dólar a la compra en $18.75 y a la venta en $19.86 https://t.co/YrGPV8I3MI,dolar,
35,,196814835,1591064680503582720,2022-11-11 13:45:55+00:00,['1591064680503582720'],1591064680503582720,,"El #dolar sigue bajando en #Colombia 

https://t.co/JoGuLOnVCH",dolar,
36,,1203392606656487424,1591063137159376896,2022-11-11 13:39:47+00:00,['1591063137159376896'],1591063137159376896,,"https://t.co/akkEimfbaK Los PoliBrujas, cortos para narrar el abuso policial en Venezuela. SUSCRIBE para subir más contenido real
#Venezuela #11Nov #Lluvias #Gasolina #Corpoelec #Dolar #Agua #IVSS #CICPC #Video #Anime #Politica #Corruption Plan Vuelta a La Patria Jorge Rodríguez",dolar,
37,{'media_keys': ['3_1591062092559392769']},89485410,1591062131172343808,2022-11-11 13:35:47+00:00,['1591062131172343808'],1591062131172343808,,"AMPLIACIÓN: Este viernes el dólar opera bajo la modalidad ‘next day’, sube levemente en la bvc https://t.co/MYSTNK2KHf #dolar https://t.co/DtjYKzSSPP",dolar,
38,{'media_keys': ['3_1591061983230558208']},1440021803058049030,1591062004072337410,2022-11-11 13:35:16+00:00,['1591062004072337410'],1591062004072337410,,"Hoy es viernes 11 de noviembre del año 2022 y estos son algunos datos de interés.

#LaPropuestaDigital #LaPropuestaDigRD #datosdeinteres #diario #noticias #dolar #euro #combustibles #tiempo https://t.co/wiwJjHX0I2",dolar,
39,,1567287154027515905,1590782005373194240,2022-11-11 13:34:55+00:00,['1591061916033896448'],1591061916033896448,202352090.0,"@claudiosavoia #Macri nos hizo mierda y a ver? mostrame algun #twitt pidiendole la #renuncia a el o a #Caputo cuando la inflacion se disparo o cuando el ##dolar se fue al joraca? No haces #periodismo, no engañas a nadie sos un operador politico. #Savoia nada",dolar,
40,{'media_keys': ['3_1591060580835680257']},1156597099129135105,1591060583516082176,2022-11-11 13:29:38+00:00,['1591060583516082176'],1591060583516082176,,#Dólar | Este es el precio de la divisa estadounidense publicado por el Banco Central de Venezuela (BCV) y las páginas informativas DolarToday y Monitor para este viernes #11Nov. https://t.co/Gra5M5lqzS,dolar,
41,{'media_keys': ['7_1591060154857971720']},999698294401130496,1591038047331946496,2022-11-11 13:28:06+00:00,['1591060197128441856'],1591060197128441856,9.996982944011305e+17,"#Dólar Next Day abrió este #viernes 11 de noviembre: $4,805⚜️Se mantiene estable frente a su cierre de jueves en el Spot de $4,805. https://t.co/ZLUGJW3S0B",dolar,
42,{'media_keys': ['3_1591058481133625346']},1422986494701187072,1591059783917850626,2022-11-11 13:26:27+00:00,['1591059783917850626'],1591059783917850626,,"#Dólar | Cotización monetaria para hoy #11Nov en Venezuela 🇻🇪 : OFICIAL Bs.  9,01 COMERCIAL Bs. 10,55.  En Argentina 🇦🇷 : 160,73 pesos.
#FelizViernesATodos https://t.co/jUl4w8pD7d",dolar,
43,{'media_keys': ['3_1591059497165922304']},89485410,1591059519840583682,2022-11-11 13:25:24+00:00,['1591059519840583682'],1591059519840583682,,"Este viernes el dólar opera bajo la modalidad ‘next day’, sube en promedio $2,08 hasta los $4.808,15 https://t.co/sVP2W5gEHM #dolar https://t.co/Sgp3k10kXo",dolar,
44,,95275857,1591059039919579136,2022-11-11 13:23:30+00:00,['1591059039919579136'],1591059039919579136,,"#Dólar Así cotizó este día el billete verde

https://t.co/WUvjNjhg3j",dolar,
45,,108989345,1591058992406532096,2022-11-11 13:23:18+00:00,['1591058992406532096'],1591058992406532096,,"#Dólar Así cotizó este día el billete verde

https://t.co/NGSrazcRjZ",dolar,
46,{'media_keys': ['3_1591058457754484736']},1313129376356106247,1591058746205409283,2022-11-11 13:22:20+00:00,['1591058746205409283'],1591058746205409283,,"En la sesión overnight el tipo de cambio alcanzó un mínimo de $19.2655 y un máximo de $19.4733. En la apertura, el peso🇲🇽 se deprecia 0.54%, cotizando en el mercado spot en alrededor de $19.4145. Es la 2a divisa emergente que presenta mayores pérdidas frente al #dolar esta mañana https://t.co/vpa3ecplRk",dolar,
47,,1509292697395220481,1591057929394073601,2022-11-11 13:19:05+00:00,['1591057929394073601'],1591057929394073601,,"TOMA NOTA 
Esta mañana, el tipo de cambio presentó una tendencia alcista y cotiza en $19.37, que implica una depreciación de 0.27% respecto al cierre previo. Ayer, la paridad cerró el día en su menor nivel desde febrero de 2020.
#dolar 
#tipodecambio",dolar,
48,{'media_keys': ['3_1591057533925560320']},756501092096176129,1591057796661153794,2022-11-11 13:18:33+00:00,['1591057796661153794'],1591057796661153794,,"Información operación transacciones del Dólar [11/11/2022]. 

Somos la fuente oficial del Dólar en Colombia para recibir la información del dólar en tiempo real, solicita un Demo en el siguiente link: https://t.co/ldQ7RMjWW4
#dolar #FelizViernesATodos #dolarInformación https://t.co/2CzxxnBVyB",dolar,
49,,1551291859703562249,1591057545841750016,2022-11-11 13:17:34+00:00,['1591057545841750016'],1591057545841750016,,"Precio del dólar HOY 11/11/2022 10:20 en Argentina

Dólar Blue $292,00
Dólar Oficial $167,50
Dólar Ahorro $276,38
Dólar Turista $293,12
Dólar MEP $296,78
Dólar CCL $309,08
Dólar Qatar $335,00

🌐 Más info en: https://t.co/dqoIOCbSPs
#dolarblue #dolaroficial #dolarnube #dolar",dolar,
50,,4797772695,1591057378765852674,2022-11-11 13:16:54+00:00,['1591057378765852674'],1591057378765852674,,"#Dolar
Festivo USA.
Dolar opera ND a $ 4,805 en la “apertura” y ya va a $ 4,812 !!
@andresmania",dolar,
51,{'media_keys': ['3_1591057089232879620']},208183828,1591057096971255808,2022-11-11 13:15:46+00:00,['1591057096971255808'],1591057096971255808,,"Buenos días, empresarios y emprendedores, les compartimos los #IndicadoresEconómicos para hoy 11 de noviembre de 2022.

#IndicadoresVENA #FelizViernes #IndicadoresHoy #Acciones #EconomiaColombia #EuroHoy #Dólar #UVR #TRM #Negocios #Dinero #Colombia #MercadoBursátil https://t.co/Tb4qpmruwW",dolar,
52,,738857042585210880,1591056996979331073,2022-11-11 13:15:23+00:00,['1591056996979331073'],1591056996979331073,,"La suba del #euro contra el #dolar, lleva 6% en 8 días. El dato de inflación de ayer aceleró la tendencia.",dolar,
53,{'media_keys': ['3_1591056554136068097']},936969055231193088,1591056555826638849,2022-11-11 13:13:37+00:00,['1591056555826638849'],1591056555826638849,,"TASA CAMBIARIA BCV.
Para hoy Viernes 11 de Noviembre del 2.022.
#BCV #DOLAR #EURO https://t.co/rtPqMspvUD",dolar,
54,,1115012822935773184,1591055738331283457,2022-11-11 13:10:57+00:00,['1591055882124636160'],1591055882124636160,149991703.0,"@alferdez En lo que va de año, el dolar subió un 73.81%
#dato #dolar #argentina",dolar,
55,,931579478794555393,1591055139858587650,2022-11-11 13:08:00+00:00,['1591055139858587650'],1591055139858587650,,"La agenda económica con @willykohan: ""Estamos cerrando una semana con mercados bipolares""

#Economia #Mercados #Dolar

https://t.co/y4hgvlxXT3",dolar,
56,,1243143476289683456,1591054494070018049,2022-11-11 13:05:26+00:00,['1591054494070018049'],1591054494070018049,,"👉La #Eurozona entrará en #recesión para el último trimestre de este año🚩🇪🇺

📉Entérate cuánto vale hoy el #dolar y la #lira📉

#EURTRY #EURUSD #EURCAD #Canada #canadavisa #Europa #USA #usak #eeuu #Biden #Trump #trump2024 #USD #USDT #Pfizer #Musk #Twitter
https://t.co/ytZpoYsz0d",dolar,
57,{'media_keys': ['3_1591053910768291841']},1381776255243145226,1591053914513752064,2022-11-11 13:03:08+00:00,['1591053914513752064'],1591053914513752064,,"Queman una obra de #FridaKahlo para #vender sus copias como #NFT

https://t.co/BOqRvYsxzC

#b2bfinances #finanzas #España #academia #noticias #bolsa #traiding #México #Venezuela #chile #panama #oro #stamp #news #Perú #Florida #índices #nft #dinero #dolar #euro #israel https://t.co/1WVyuSarXX",dolar,
58,,52819651,1591053283933573120,2022-11-11 13:00:37+00:00,['1591053283933573120'],1591053283933573120,,"#PortafolioRecomienda

El #Dólar en #Colombia ha bajado de los 5.000 pesos en los últimos días.

Una de las razones de esto fue la noticia de la menor inflación en EE. UU., que llevaría a disminuir o frenar el alza de tasas.

Otras razones, aquí 👇.
 https://t.co/aNNa9w7ZkF",dolar,
59,{'media_keys': ['3_1591053264002465794']},4055650763,1591053267315789825,2022-11-11 13:00:33+00:00,['1591053267315789825'],1591053267315789825,,"Hoy en #EstadosUnidos 🇺🇲 es festivo, se conmemora el Día de los Veteranos, por lo tanto, la #TRM se mantiene vigente hasta el próximo martes 15 de noviembre. 

Movimiento del #dólar durante la jornada de ayer

Apertura $4891,50
Máximo $4901,50
Mínimo $4776,30
Promedio $4806,05 https://t.co/d4PXqDc9DG",dolar,
60,,2192594364,1591053139351949316,2022-11-11 13:00:03+00:00,['1591053139351949316'],1591053139351949316,,El precio del dólar paralelo en este momento 2022-11-11 09:00 AM: 10.6 Bs #venezuela #dolar,dolar,
61,{'media_keys': ['3_1577636165368401920']},1223451257660231680,1591053136487219201,2022-11-11 13:00:02+00:00,['1591053136487219201'],1591053136487219201,,Potencia tu inversión tomando crédito de caución! Conoce mas desde https://t.co/FbOwqrtLXA - Accede a nuestro asesoramiento sin cargo extra abriendo tu cuenta desde https://t.co/mX2YPfxrMn #invertir #inversiones #bolsa #mercadodecapitales #ahorro #inversor #oportunidad #dólar https://t.co/1xxSPfzf26,dolar,
62,{'media_keys': ['3_1591050878320054274']},1024672891663736832,1591050865586094082,2022-11-11 12:51:05+00:00,['1591050881927368704'],1591050881927368704,1.0246728916637368e+18,"#Frecuencia de palabras en los textos de #economia de #LaNacion del 10.11.2022 📊
1.  #argentina 87
2.  #dólar 81
3.  #noviembre 61
4.  #mercado 55
5.  #gobierno 52
6.  #producción 40
7.  #escuchar 38
8.  #precios 38 https://t.co/CrUdgeBRIi",dolar,
63,,1203392606656487424,1591050370180321280,2022-11-11 12:49:03+00:00,['1591050370180321280'],1591050370180321280,,"https://t.co/pgY82QIYRu Los PoliBrujas, cortos para narrar el abuso policial en Venezuela. SUSCRIBE para subir más contenido real
#Venezuela #11Nov #Lluvias #Gasolina #Corpoelec #Dolar #Agua #IVSS #CICPC #Video #Anime #Politica #Corruption Plan Vuelta a La Patria Jorge Rodríguez",dolar,
64,,1203392606656487424,1591050321463480320,2022-11-11 12:48:51+00:00,['1591050321463480320'],1591050321463480320,,"https://t.co/S38rZHPfG2 Los PoliBrujas, cortos para narrar el abuso policial en Venezuela. SUSCRIBE para subir más contenido real
#Venezuela #11Nov #Lluvias #Gasolina #Corpoelec #Dolar #Agua #IVSS #CICPC #Video #Anime #Politica #Corruption Plan Vuelta a La Patria Jorge Rodríguez",dolar,
65,{'media_keys': ['3_1591049810903269376']},301147415,1591049836778119169,2022-11-11 12:46:56+00:00,['1591049836778119169'],1591049836778119169,,"¡Feliz viernes!🌥️ compartimos los principales indicadores económicos 📊de hoy, 11 de noviembre de 2022.

#BancoW #ParaTiParaTodos #Felizdía #FelizViernes #Fds #FelizFinDeSemana #Economía #Indicadores #Dolar #Euro #Petroleo #cafe https://t.co/4pTJcg3yM3",dolar,
66,{'media_keys': ['3_1591049670003933185']},105235737,1591049741869387776,2022-11-11 12:46:33+00:00,['1591049741869387776'],1591049741869387776,,"Antes de despedirnos te dejamos los indicadores del día 😉 
¡Feliz fin de semana! 😁

#Indicadores #Economia #IPSA #Dolar #Cobre #UF https://t.co/XcltayFUPn",dolar,
67,{'media_keys': ['3_1591049650810896385']},1584990295288168448,1591049653730291712,2022-11-11 12:46:12+00:00,['1591049653730291712'],1591049653730291712,,"Iniciamos el #día con esta buena entrada en #CRASH 500. Sumando #dolar a la cuenta poco a poco y gestionando el riesgo.

#BuenDia #Traders #TradersDiary #forexmarkets https://t.co/sqMpYrTsud",dolar,
68,,104667895,1591048668198670336,2022-11-11 12:42:17+00:00,['1591048668198670336'],1591048668198670336,,"Antes de iniciar el día #viernes es muy importante que conozcas el #precio del #dólar 

https://t.co/syrpn97vaZ",dolar,
69,,123879040,1591046546183053315,2022-11-11 12:33:51+00:00,['1591046546183053315'],1591046546183053315,,"COLOMBIA #cotización promedio 11-11-22 en pesos colombianos: 
TRM $4806.07 
💵 #Dolar $4846.70 
💶 #Euro $5070.00 
https://t.co/UTLAh4rVXn",dolar,
70,,1203392606656487424,1591046522543607808,2022-11-11 12:33:45+00:00,['1591046522543607808'],1591046522543607808,,"https://t.co/EyHcAwobaw Los PoliBrujas, cortos para narrar el abuso policial en Venezuela. SUSCRIBE para subir más contenido real
#Venezuela #11Nov #Lluvias #Gasolina #Corpoelec #Dolar #Agua #IVSS #CICPC #Video #Anime #Politica #Corruption Plan Vuelta a La Patria Jorge Rodríguez",dolar,
71,,1203392606656487424,1591046481049313280,2022-11-11 12:33:35+00:00,['1591046481049313280'],1591046481049313280,,"https://t.co/t1qNYW1r2G Los PoliBrujas, cortos para narrar el abuso policial en Venezuela. SUSCRIBE para subir más contenido real
#Venezuela #11Nov #Lluvias #Gasolina #Corpoelec #Dolar #Agua #IVSS #CICPC #Video #Anime #Politica #Corruption Plan Vuelta a La Patria Jorge Rodríguez",dolar,
72,{'media_keys': ['3_1591046008313708545']},281280596,1591046382067933185,2022-11-11 12:33:12+00:00,['1591046382067933185'],1591046382067933185,,"🔴 #EnNoticiasYa @RadioyaB 1430 AM 🗣️ Jaime Bermúdez especialista en finanzas | Efectos de la baja del #dolar ""El dólar toma precio con respecto al peso colombiano debido a la cantidad insuficiente de dólares en el mercado. https://t.co/tIO9pVZu6C",dolar,
73,,923259119993327623,1591046050722500613,2022-11-11 12:31:53+00:00,['1591046050722500613'],1591046050722500613,,"Mano a mano Diego García- ""El Albarrate"" el domingo 4 de diciembre en Dólar (Granada) https://t.co/hqgTHMvon6 #Dolar  @DiegoGarciaInf   #Albarrate  @ObjetivoJuanma",dolar,
74,,123879040,1591045137257598976,2022-11-11 12:28:15+00:00,['1591045137257598976'],1591045137257598976,,"BRASIL #cotización promedio 11-11-22 en reales: 
💵 #Dolar $5.4405 
💶 #Euro $5.5877 
https://t.co/eSaEkKB4sJ",dolar,
75,,296877824,1591044905820131330,2022-11-11 12:27:20+00:00,['1591044905820131330'],1591044905820131330,,"TRM Colombia 4,806 pesos por dólar💲 - #Bitcoin: 17,291 USD - Viernes 11/11/2022 #trm #colombia #dolar #dolarcolombia #bitcoincolombia",dolar,
76,,123879040,1591043491697938434,2022-11-11 12:21:43+00:00,['1591043491697938434'],1591043491697938434,,"MEXICO #cotización promedio 11-11-22 en pesos mexicanos: 
💵 #Dolar $20.078 
💶 #Euro $20.289 
https://t.co/VVOqsohu7I",dolar,
77,,179258512,1591043272339705858,2022-11-11 12:20:50+00:00,['1591043272339705858'],1591043272339705858,,"Y hoy el #dólar seguirá bajando, no por obras del gobierno, sino por designio #DIVINO , numeral #PetroBastaYa #petrorenuncieYA",dolar,
78,,1551291859703562249,1591042316038729728,2022-11-11 12:17:02+00:00,['1591042316038729728'],1591042316038729728,,"Precio del dólar HOY 11/11/2022 09:20 en Argentina

Dólar Blue $292,00
Dólar Oficial $167,50
Dólar Ahorro $276,38
Dólar Turista $293,12
Dólar MEP $299,92
Dólar CCL $309,34
Dólar Qatar $335,00

🌐 Más info en: https://t.co/dqoIOCbSPs
#dolarblue #dolaroficial #dolarnube #dolar",dolar,
